date,state,county,retail,grocery,parks,transit,workplaces,residential,Non_Residential
2020-03-03,Virginia,Halifax County,20.0,14.0,,,2.0,-1.0,12.0
2020-03-03,Virginia,Hampton,14.0,18.0,24.0,8.0,3.0,-1.0,13.4
2020-03-03,Virginia,Hanover County,17.0,6.0,,6.0,-10.0,1.0,4.75
2020-03-03,Virginia,Harrisonburg,20.0,10.0,,2.0,-1.0,0.0,7.75
2020-03-03,Virginia,Henrico County,14.0,10.0,73.0,10.0,-6.0,0.0,20.2
2020-03-03,Virginia,Henry County,25.0,10.0,,,3.0,-2.0,12.666666666666666
2020-03-03,Virginia,Hopewell,26.0,6.0,,,10.0,-2.0,14.0
2020-03-03,Virginia,Isle of Wight County,15.0,8.0,,,2.0,-1.0,8.333333333333334
2020-03-03,Virginia,James City County,15.0,12.0,,,5.0,-1.0,10.666666666666666
2020-03-03,Virginia,King George County,19.0,6.0,,,-11.0,2.0,4.666666666666667
2020-03-03,Virginia,King William County,10.0,12.0,,,-1.0,,7.0
2020-03-03,Virginia,King and Queen County,,,,,2.0,,2.0
2020-03-03,Virginia,Lancaster County,15.0,42.0,,,7.0,,21.333333333333332
2020-03-03,Virginia,Lee County,30.0,39.0,,,-2.0,,22.333333333333332
2020-03-03,Virginia,Lexington,,31.0,,,,,31.0
2020-03-03,Virginia,Loudoun County,10.0,6.0,14.0,-9.0,-7.0,2.0,2.8
2020-03-03,Virginia,Louisa County,33.0,7.0,,,-8.0,1.0,10.666666666666666
2020-03-03,Virginia,Lunenburg County,,8.0,,,5.0,,6.5
2020-03-03,Virginia,Lynchburg,18.0,16.0,,8.0,0.0,-2.0,10.5
2020-03-03,Virginia,Madison County,,23.0,,,0.0,,11.5
2020-03-03,Virginia,Manassas,9.0,5.0,,3.0,-8.0,1.0,2.25
2020-03-03,Virginia,Manassas Park,,0.0,,,6.0,,3.0
2020-03-03,Virginia,Martinsville,22.0,8.0,,,2.0,,10.666666666666666
2020-03-03,Virginia,Mathews County,,,,,-5.0,,-5.0
2020-03-03,Virginia,Mecklenburg County,23.0,17.0,,7.0,4.0,-2.0,12.75
2020-03-03,Virginia,Middlesex County,,15.0,,,-5.0,,5.0
2020-03-03,Virginia,Montgomery County,13.0,8.0,,4.0,3.0,-1.0,7.0
2020-03-03,Virginia,Nelson County,22.0,5.0,,,-2.0,,8.333333333333334
2020-03-03,Virginia,New Kent County,26.0,4.0,,12.0,1.0,,10.75
2020-03-03,Virginia,Newport News,11.0,11.0,48.0,-1.0,3.0,-1.0,14.4
2020-03-03,Virginia,Norfolk,15.0,8.0,44.0,2.0,-4.0,0.0,13.0
2020-03-03,Virginia,Northampton County,21.0,12.0,,,3.0,,12.0
2020-03-03,Virginia,Northumberland County,,10.0,,,6.0,,8.0
2020-03-03,Virginia,Norton,35.0,,,,,,35.0
2020-03-03,Virginia,Nottoway County,23.0,25.0,,,1.0,,16.333333333333332
2020-03-03,Virginia,Orange County,22.0,22.0,,,-8.0,0.0,12.0
2020-03-03,Virginia,Page County,32.0,8.0,,,2.0,,14.0
2020-03-03,Virginia,Patrick County,19.0,20.0,,,8.0,,15.666666666666666
2020-03-03,Virginia,Petersburg,20.0,14.0,,10.0,-2.0,-1.0,10.5
2020-03-03,Virginia,Pittsylvania County,10.0,14.0,,,-5.0,1.0,6.333333333333333
2020-03-03,Virginia,Poquoson,21.0,7.0,,,-5.0,,7.666666666666667
2020-03-03,Virginia,Portsmouth,20.0,13.0,,11.0,-4.0,0.0,10.0
2020-03-03,Virginia,Powhatan County,12.0,3.0,,,2.0,-1.0,5.666666666666667
2020-03-03,Virginia,Prince Edward County,16.0,11.0,,,-6.0,,7.0
2020-03-03,Virginia,Prince George County,18.0,14.0,,5.0,1.0,-1.0,9.5
2020-03-03,Virginia,Prince William County,13.0,4.0,28.0,2.0,-9.0,2.0,7.6
2020-03-03,Virginia,Pulaski County,23.0,17.0,,,-6.0,0.0,11.333333333333334
